[    6574ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:54345/js/dayTimezone.js:0
[    6762ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6763ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满49减10, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6765ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6765ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/415047/7/6781/1527/69d7151aF29f6c5c2/027606c020107e1b.png, code: bybt, labelType: 0, source: ware, text: 百亿补贴} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6765ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满49减10, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6766ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6766ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 官方直降12%, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6766ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6766ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 官方直降12%, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6767ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[    6767ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 官方直降12%, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
